[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
‎[12/14/23, 00:15:56] Хабиб Вентиляция : ‎<прикреплено: 00003831-AUDIO-2023-12-14-00-15-56.opus>
[12/14/23, 00:19:46] Хабиб Вентиляция : Если спросят где выходной скажи
[12/14/23, 00:19:56] Хабиб Вентиляция : Что бы не названивали
[12/14/23, 00:20:09] investklimat: завтра?
[12/14/23, 00:20:14] Хабиб Вентиляция : Не
[12/14/23, 00:20:18] Хабиб Вентиляция : После завтра
[12/14/23, 00:20:29] Хабиб Вентиляция : Завтра зонты хочу добить
[12/14/23, 00:20:36] investklimat: понял
[12/14/23, 13:33:24] Хабиб Вентиляция : Ассаламу алайкум
[12/14/23, 13:38:10] investklimat: Ваалейкум Ассалам
‎[12/14/23, 13:51:14] Хабиб Вентиляция : ‎<прикреплено: 00003841-PHOTO-2023-12-14-13-51-14.jpg>
[12/14/23, 13:51:16] Хабиб Вентиляция : 355
[12/14/23, 13:51:18] Хабиб Вентиляция : Труба
[12/14/23, 13:51:27] Хабиб Вентиляция : И каждый деталь такой
[12/14/23, 14:09:27] Хабиб Вентиляция : Скотч уходит
‎[12/14/23, 14:10:40] investklimat: ‎<прикреплено: 00003846-AUDIO-2023-12-14-14-10-40.opus>
‎[12/14/23, 14:13:37] Хабиб Вентиляция : ‎<прикреплено: 00003847-AUDIO-2023-12-14-14-13-37.opus>
‎[12/14/23, 14:24:00] Хабиб Вентиляция : ‎<прикреплено: 00003848-PHOTO-2023-12-14-14-24-00.jpg>
[12/14/23, 14:27:36] Хабиб Вентиляция : 3штук беру
[12/14/23, 14:27:46] Хабиб Вентиляция : Останется на другой заберем
[12/14/23, 14:30:03] investklimat: Хорошо, Хабиб. Сейчас скину
[12/14/23, 14:51:09] investklimat: Алмазник не приходил?
[12/14/23, 14:51:17] Хабиб Вентиляция : Нет брат
[12/14/23, 14:51:25] Хабиб Вентиляция : Ни кого не было
‎[12/14/23, 14:53:02] investklimat: ‎<прикреплено: 00003855-AUDIO-2023-12-14-14-53-01.opus>
[12/14/23, 14:53:26] Хабиб Вентиляция : Один зонт остался
[12/14/23, 14:53:35] Хабиб Вентиляция : Я в магазин ездил
[12/14/23, 14:53:46] Хабиб Вентиляция : Минут 5 буду фото скину
‎[12/14/23, 14:54:24] investklimat: ‎<прикреплено: 00003859-AUDIO-2023-12-14-14-54-23.opus>
[12/14/23, 14:54:46] Хабиб Вентиляция : Работы нет
[12/14/23, 14:55:03] Хабиб Вентиляция : Оборудование
[12/14/23, 14:55:08] Хабиб Вентиляция : Можно вешать
[12/14/23, 14:55:28] Хабиб Вентиляция : 160
[12/14/23, 14:55:30] Хабиб Вентиляция : Оба
[12/14/23, 14:55:54] Хабиб Вентиляция : И у входа который приочку
‎[12/14/23, 14:56:02] investklimat: ‎<прикреплено: 00003866-AUDIO-2023-12-14-14-56-01.opus>
[12/14/23, 14:56:08] Хабиб Вентиляция : Завтра я на другой объект
[12/14/23, 14:56:11] Хабиб Вентиляция : Выйду
[12/14/23, 14:56:45] Хабиб Вентиляция : Да
[12/14/23, 14:57:04] Хабиб Вентиляция : Там расширить пришлось чуть
[12/14/23, 14:57:07] Хабиб Вентиляция : Отверстие
[12/14/23, 14:57:18] Хабиб Вентиляция : У лестниц которое
[12/14/23, 14:57:23] Хабиб Вентиляция : Труба не проходила
[12/14/23, 14:57:29] Хабиб Вентиляция : Вторая
[12/14/23, 14:58:23] Хабиб Вентиляция : Леса это все обговори брат доп работы
[12/14/23, 14:58:43] Хабиб Вентиляция : Как на прошлом объект не получилось
‎[12/14/23, 15:00:05] investklimat: ‎<прикреплено: 00003877-AUDIO-2023-12-14-15-00-04.opus>
[12/14/23, 15:00:43] Хабиб Вентиляция : Дорого как брат
[12/14/23, 15:00:47] Хабиб Вентиляция : 1500
[12/14/23, 15:00:52] Хабиб Вентиляция : Леса собирать
[12/14/23, 15:01:27] Хабиб Вентиляция : Если дорого скажет пусть найдёт дешевле
‎[12/14/23, 15:01:46] investklimat: ‎<прикреплено: 00003882-AUDIO-2023-12-14-15-01-45.opus>
‎[12/14/23, 15:02:17] investklimat: ‎<прикреплено: 00003883-AUDIO-2023-12-14-15-02-16.opus>
[12/14/23, 15:07:51] Хабиб Вентиляция : Хорошо брат
‎[12/14/23, 16:25:47] investklimat: ‎<прикреплено: 00003885-AUDIO-2023-12-14-16-25-46.opus>
‎[12/14/23, 16:37:55] Хабиб Вентиляция : ‎<прикреплено: 00003886-PHOTO-2023-12-14-16-37-55.jpg>
‎[12/14/23, 16:43:48] investklimat: ‎<прикреплено: 00003888-AUDIO-2023-12-14-16-43-47.opus>
[12/14/23, 16:45:01] Хабиб Вентиляция : Скорейшего выздоровление брат
[12/14/23, 16:45:17] investklimat: 🤲
‎[12/14/23, 17:13:05] Хабиб Вентиляция : ‎<прикреплено: 00003891-PHOTO-2023-12-14-17-13-05.jpg>
‎[12/14/23, 17:13:12] Хабиб Вентиляция : ‎<прикреплено: 00003892-PHOTO-2023-12-14-17-13-12.jpg>
[12/14/23, 18:08:05] Хабиб Вентиляция : 270 труб закончились
‎[12/14/23, 18:10:07] Хабиб Вентиляция : ‎<прикреплено: 00003894-PHOTO-2023-12-14-18-10-07.jpg>
[12/14/23, 18:11:08] Хабиб Вентиляция : 2 труб не хватает
‎[12/14/23, 18:11:27] Хабиб Вентиляция : ‎<прикреплено: 00003896-PHOTO-2023-12-14-18-11-27.jpg>
‎[12/14/23, 18:12:27] investklimat: ‎<прикреплено: 00003897-AUDIO-2023-12-14-18-12-27.opus>
‎[12/14/23, 18:19:46] Хабиб Вентиляция : ‎<прикреплено: 00003898-AUDIO-2023-12-14-18-19-46.opus>
[12/14/23, 18:19:59] investklimat: 6.5 м
[12/14/23, 18:20:42] investklimat: Только здесь эта труба идёт
‎[12/14/23, 18:25:15] investklimat: ‎<прикреплено: 00003901-AUDIO-2023-12-14-18-25-14.opus>
‎[12/14/23, 19:35:46] Хабиб Вентиляция : ‎<прикреплено: 00003902-PHOTO-2023-12-14-19-35-46.jpg>
[12/14/23, 19:35:49] Хабиб Вентиляция : Вот оно что
[12/14/23, 19:36:05] Хабиб Вентиляция : Оказывается расстояние между ригель зонт
[12/14/23, 19:43:23] investklimat: А, да. Там же будет перегородка
‎[12/14/23, 19:44:38] investklimat: ‎<прикреплено: 00003906-PHOTO-2023-12-14-19-44-38.jpg>
‎[12/14/23, 19:45:44] Хабиб Вентиляция : ‎<прикреплено: 00003907-PHOTO-2023-12-14-19-45-44.jpg>
‎[12/14/23, 19:46:39] investklimat: ‎<прикреплено: 00003908-AUDIO-2023-12-14-19-46-38.opus>
[12/14/23, 19:47:09] Хабиб Вентиляция : 112
[12/14/23, 21:50:05] investklimat: 👍
[12/14/23, 21:50:09] investklimat: Четко
‎[12/15/23, 10:03:51] investklimat: ‎<прикреплено: 00003914-AUDIO-2023-12-15-10-03-50.opus>
‎[12/15/23, 10:10:35] investklimat: ‎<прикреплено: 00003915-AUDIO-2023-12-15-10-10-34.opus>
[12/15/23, 11:31:24] Хабиб Вентиляция : Ва алайкум ассалам
[12/15/23, 11:31:35] Хабиб Вентиляция : Один день уйдёт
[12/15/23, 11:31:42] Хабиб Вентиляция : Пусть все сделают
[12/15/23, 11:31:53] Хабиб Вентиляция : Я сегодня добью его
‎[12/15/23, 11:32:00] investklimat: ‎<прикреплено: 00003920-AUDIO-2023-12-15-11-31-59.opus>
‎[12/15/23, 11:33:01] Хабиб Вентиляция : ‎<прикреплено: 00003921-AUDIO-2023-12-15-11-33-01.opus>
‎[12/15/23, 12:44:50] Хабиб Вентиляция : ‎<прикреплено: 00003922-AUDIO-2023-12-15-12-44-50.opus>
‎[12/15/23, 13:07:21] investklimat: ‎<прикреплено: 00003923-AUDIO-2023-12-15-13-07-20.opus>
‎[12/15/23, 13:12:01] Хабиб Вентиляция : ‎<прикреплено: 00003924-AUDIO-2023-12-15-13-12-01.opus>
‎[12/15/23, 13:13:23] investklimat: ‎<прикреплено: 00003925-AUDIO-2023-12-15-13-13-22.opus>
‎[12/15/23, 13:15:08] investklimat: ‎<прикреплено: 00003926-AUDIO-2023-12-15-13-15-07.opus>
‎[12/15/23, 13:15:19] Хабиб Вентиляция : ‎<прикреплено: 00003927-AUDIO-2023-12-15-13-15-19.opus>
‎[12/15/23, 13:16:22] investklimat: ‎<прикреплено: 00003928-AUDIO-2023-12-15-13-16-21.opus>
[12/15/23, 13:16:43] investklimat: К 2-м
[12/15/23, 13:16:54] Хабиб Вентиляция : К 2 можно
‎[12/15/23, 13:17:11] Хабиб Вентиляция : ‎<прикреплено: 00003931-AUDIO-2023-12-15-13-17-11.opus>
‎[12/15/23, 13:17:42] investklimat: ‎<прикреплено: 00003932-AUDIO-2023-12-15-13-17-41.opus>
‎[12/15/23, 13:25:06] Хабиб Вентиляция : ‎<прикреплено: 00003933-AUDIO-2023-12-15-13-25-06.opus>
‎[12/15/23, 13:25:48] Хабиб Вентиляция : ‎<прикреплено: 00003934-AUDIO-2023-12-15-13-25-48.opus>
‎[12/15/23, 13:25:55] investklimat: ‎<прикреплено: 00003935-AUDIO-2023-12-15-13-25-54.opus>
‎[12/15/23, 13:26:58] investklimat: ‎<прикреплено: 00003936-AUDIO-2023-12-15-13-26-57.opus>
[12/15/23, 13:56:09] investklimat: 8 (909) 555-12-55 Вышка Садык
‎[12/15/23, 13:56:33] investklimat: ‎<прикреплено: 00003938-AUDIO-2023-12-15-13-56-32.opus>
[12/15/23, 14:01:10] Хабиб Вентиляция : Хорошо
[12/15/23, 14:58:33] investklimat: Вышка приехала?
‎[12/15/23, 14:59:24] Хабиб Вентиляция : ‎<прикреплено: 00003941-AUDIO-2023-12-15-14-59-24.opus>
‎[12/15/23, 15:00:03] investklimat: ‎<прикреплено: 00003942-AUDIO-2023-12-15-15-00-03.opus>
‎[12/15/23, 16:07:07] Хабиб Вентиляция : ‎<прикреплено: 00003944-PHOTO-2023-12-15-16-07-07.jpg>
[12/15/23, 16:07:53] investklimat: 👍
[12/15/23, 16:08:06] investklimat: Хорошо что поместилась
‎[12/15/23, 16:15:48] investklimat: ‎<прикреплено: 00003947-AUDIO-2023-12-15-16-15-47.opus>
‎[12/15/23, 16:15:51] Хабиб Вентиляция : ‎<прикреплено: 00003948-PHOTO-2023-12-15-16-15-51.jpg>
[12/15/23, 16:15:53] Хабиб Вентиляция : Так?
[12/15/23, 16:16:28] Хабиб Вентиляция : ‎Пропущенный видеозвонок, ‎Нажмите, чтобы перезвонить
‎[12/15/23, 16:17:08] Хабиб Вентиляция : ‎<прикреплено: 00003951-AUDIO-2023-12-15-16-17-08.opus>
[12/15/23, 16:18:26] investklimat: ‎Видеозвонок, ‎Нет ответа
[12/15/23, 16:18:53] investklimat: Да
‎[12/15/23, 17:02:01] Хабиб Вентиляция : ‎<прикреплено: 00003954-PHOTO-2023-12-15-17-02-01.jpg>
‎[12/15/23, 17:02:30] Хабиб Вентиляция : ‎<прикреплено: 00003955-VIDEO-2023-12-15-17-02-30.mp4>
[12/15/23, 17:03:01] investklimat: Все хорошо, брат👍
‎[12/15/23, 17:07:29] investklimat: ‎<прикреплено: 00003958-AUDIO-2023-12-15-17-07-28.opus>
‎[12/15/23, 17:08:15] investklimat: ‎<прикреплено: 00003959-PHOTO-2023-12-15-17-08-14.jpg>
‎[12/15/23, 17:08:25] investklimat: ‎<прикреплено: 00003960-AUDIO-2023-12-15-17-08-24.opus>
‎[12/15/23, 17:09:40] Хабиб Вентиляция : ‎<прикреплено: 00003961-AUDIO-2023-12-15-17-09-40.opus>
[12/15/23, 17:10:49] investklimat: Понял
[12/15/23, 18:05:04] Хабиб Вентиляция : 315 не хватает
‎[12/15/23, 18:05:09] Хабиб Вентиляция : ‎<прикреплено: 00003964-PHOTO-2023-12-15-18-05-09.jpg>
[12/15/23, 18:05:16] Хабиб Вентиляция : 2 метра
‎[12/15/23, 18:05:40] Хабиб Вентиляция : Это на адаптера идет ‎<прикреплено: 00003966-PHOTO-2023-12-15-18-05-40.jpg>
[12/15/23, 18:06:11] Хабиб Вентиляция : Почти 2 метра
[12/15/23, 18:06:37] investklimat: Хорошо, закажу
[12/15/23, 18:06:53] Хабиб Вентиляция : Все по проекту
[12/15/23, 18:06:58] Хабиб Вентиляция : И по размерам
‎[12/15/23, 18:08:11] investklimat: ‎<прикреплено: 00003971-AUDIO-2023-12-15-18-08-10.opus>
‎[12/15/23, 18:57:46] Хабиб Вентиляция : ‎<прикреплено: 00003972-PHOTO-2023-12-15-18-57-46.jpg>
[12/15/23, 19:00:47] Хабиб Вентиляция : Что скажешь?
[12/15/23, 19:01:17] investklimat: 👍
[12/15/23, 19:12:39] investklimat: 2 метра заказал 315 трубы
[12/15/23, 19:19:37] Хабиб Вентиляция : 👍
‎[12/15/23, 19:20:18] investklimat: ‎<прикреплено: 00003977-AUDIO-2023-12-15-19-20-18.opus>
[12/15/23, 19:21:58] Хабиб Вентиляция : Хорошо
‎[12/15/23, 19:25:18] Хабиб Вентиляция : ‎<прикреплено: 00003979-PHOTO-2023-12-15-19-25-18.jpg>
[12/15/23, 19:25:46] Хабиб Вентиляция : Порнография
[12/15/23, 19:26:02] investklimat: Это ужас
[12/15/23, 19:26:22] Хабиб Вентиляция : То не заходит то большая
‎[12/15/23, 19:29:57] investklimat: ‎<прикреплено: 00003983-AUDIO-2023-12-15-19-29-56.opus>
‎[12/15/23, 19:42:59] Хабиб Вентиляция : ‎<прикреплено: 00003984-AUDIO-2023-12-15-19-42-59.opus>
‎[12/15/23, 19:54:25] Хабиб Вентиляция : ‎<прикреплено: 00003985-VIDEO-2023-12-15-19-54-25.mp4>
‎[12/15/23, 19:57:31] Хабиб Вентиляция : ‎<прикреплено: 00003986-VIDEO-2023-12-15-19-57-31.mp4>
‎[12/15/23, 20:00:41] investklimat: ‎<прикреплено: 00003987-AUDIO-2023-12-15-20-00-41.opus>
[12/15/23, 20:06:48] Хабиб Вентиляция : 315?
‎[12/15/23, 20:07:23] investklimat: ‎<прикреплено: 00003989-AUDIO-2023-12-15-20-07-22.opus>
‎[12/15/23, 20:07:40] investklimat: ‎<прикреплено: 00003990-AUDIO-2023-12-15-20-07-39.opus>
[12/15/23, 20:10:27] Хабиб Вентиляция : Понял брат
‎[12/15/23, 20:11:14] Хабиб Вентиляция : ‎<прикреплено: 00003992-AUDIO-2023-12-15-20-11-14.opus>
‎[12/15/23, 20:12:10] investklimat: ‎<прикреплено: 00003993-AUDIO-2023-12-15-20-12-09.opus>
[12/15/23, 20:12:35] Хабиб Вентиляция : После завтра
[12/15/23, 20:12:42] Хабиб Вентиляция : Ин ша АЛЛАГЬ добью
[12/15/23, 20:12:59] investklimat: Хорошо
[12/15/23, 20:45:29] Хабиб Вентиляция : Хасавюрт силе?
‎[12/15/23, 21:31:18] investklimat: ‎<прикреплено: 00003998-AUDIO-2023-12-15-21-31-17.opus>
‎[12/15/23, 23:05:18] investklimat: ‎<прикреплено: 00003999-PHOTO-2023-12-15-23-05-17.jpg>
[12/15/23, 23:10:38] Хабиб Вентиляция : Адресс какой там?
[12/15/23, 23:11:07] Хабиб Вентиляция : С утра заберу
[12/15/23, 23:11:30] Хабиб Вентиляция : Круги на балгарку тоже нужны будут
[12/15/23, 23:17:23] investklimat: Республика Дагестан, Дербент, ул. Гагарина, 42
[12/15/23, 23:17:41] investklimat: +7 988 213-31-10
[12/15/23, 23:17:46] investklimat: Абдулла
[12/15/23, 23:17:56] Хабиб Вентиляция : Ок
[12/16/23, 16:58:22] Хабиб Вентиляция : Ассаламу алайкум
[12/16/23, 16:58:30] Хабиб Вентиляция : Как дела.Мага
[12/16/23, 16:58:53] investklimat: Ваалейкум Ассалам
[12/16/23, 16:59:03] investklimat: Нормально, Хабиб
[12/16/23, 16:59:11] investklimat: Сам как?
[12/16/23, 16:59:31] Хабиб Вентиляция : Не плохо брат
[12/16/23, 16:59:42] Хабиб Вентиляция : Нужно один день выходной
[12/16/23, 16:59:44] Хабиб Вентиляция : Устал
[12/16/23, 16:59:50] Хабиб Вентиляция : Голова не работает уже
‎[12/16/23, 17:00:23] investklimat: ‎<прикреплено: 00004016-AUDIO-2023-12-16-17-00-22.opus>
[12/16/23, 17:01:07] Хабиб Вентиляция : Пусть делает свою работу
[12/16/23, 17:01:19] Хабиб Вентиляция : Я же колорифер поставилт
[12/16/23, 17:01:28] Хабиб Вентиляция : Пусть от туда выводит
[12/16/23, 17:01:53] Хабиб Вентиляция : Отверстие пусть расширить
[12/16/23, 17:02:01] Хабиб Вентиляция : Пусть все подготовит
[12/16/23, 17:02:26] investklimat: Хорошо, скажу так
[12/16/23, 17:03:17] Хабиб Вентиляция : Ты приехал ?
[12/16/23, 17:03:37] investklimat: Да
